Title,Year,Rated,Day_Released,Month_Released,Runtime,Genre,Director,Actors,Plot,Language,Country,Awards,Poster,RottenTomatoes,Metascore,imdbRating,imdbVotes,imdbID,Production,
Dumbo,1941,G,31,Oct,64,"Animation,Drama,Family,Musical","Samuel Armstrong, Norman Ferguson, Wilfred Jackson, Jack Kinney, Bill Roberts, Ben Sharpsteen, John Elliotte","Herman Bing, Billy Bletcher, Edward Brophy, Hall Johnson Choir","Ridiculed because of his enormous ears, a young circus elephant is assisted by a mouse to achieve his full potential.",English,USA,Won 1 Oscar. Another 4 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BNWVmNWQ2OTQtNzJlNC00ZmQwLTg4ZTktZTNmM2IxZTlkOGM3L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,0.98,96,7.2,117544,tt0033563,Walt Disney Productions,
High Sierra,1941,Passed,25,Jan,100,"Action,Adventure,Crime,Drama,Film-Noir,Thriller",Raoul Walsh,"Ida Lupino, Humphrey Bogart, Alan Curtis, Arthur Kennedy","After being released from prison, notorious thief Roy Earle is hired by his old boss to help a group of inexperienced criminals plan and carry out the robbery of a California resort.",English,USA,3 wins.,https://m.media-amazon.com/images/M/MV5BYzg2MzBjNWUtMDgyZS00ZWFmLTljMDEtZmUxMTEwNGM4M2RlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,0.9,N/A,7.5,14841,tt0033717,Warner Brothers,
How Green Was My Valley,1941,Not Rated,9,Apr,118,"Drama,Family",John Ford,"Walter Pidgeon, Maureen O'Hara, Anna Lee, Donald Crisp","At the turn of the century in a Welsh mining village, the Morgans, he stern, she gentle, raise coal-mining sons and hope their youngest will find a better life.","English,Welsh",USA,Won 5 Oscars. Another 8 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BMjE1YWRmMWEtYTQ0Yy00NGEwLWFmNzAtZDkwOWNjMzkwYzJmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,0.89,N/A,7.7,20939,tt0033729,Twentieth Century Fox,
The Lady Eve,1941,Passed,21,Mar,94,"Comedy,Romance",Preston Sturges,"Barbara Stanwyck, Henry Fonda, Charles Coburn, Eugene Pallette","A trio of classy card sharks targets the socially awkward heir to brewery millions for his money, until one of them falls in love with him.",English,USA,Nominated for 1 Oscar. Another 2 wins.,https://m.media-amazon.com/images/M/MV5BOTQzNWM4Y2QtMWVhYS00MTNkLTgxMGMtNjM5Y2FmNjQ2MWFiXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,1,96,7.8,18740,tt0033804,Paramount Pictures,
The Maltese Falcon,1941,Not Rated,18,Oct,100,"Film-Noir,Mystery",John Huston,"Humphrey Bogart, Mary Astor, Gladys George, Peter Lorre","A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette.",English,USA,Nominated for 3 Oscars. Another 4 wins.,https://m.media-amazon.com/images/M/MV5BZjIwNGM1ZTUtOThjYS00NDdiLTk2ZDYtNGY5YjJkNzliM2JjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,1,96,8,147210,tt0033870,"Warner Brothers, First National Pictures",
Sergeant York,1941,Passed,27,Sep,134,"Biography,Drama,History,Romance,War",Howard Hawks,"Gary Cooper, Walter Brennan, Joan Leslie, George Tobias",A marksman is drafted in World War I and ends up becoming one of the most celebrated war heroes.,"English,French,German",USA,Won 2 Oscars. Another 3 wins & 10 nominations.,https://m.media-amazon.com/images/M/MV5BYmEzN2M4YjgtZmQ2MC00ZGI3LWEwNWEtNDRjNGE0N2FiMzQzXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,0.88,N/A,7.7,15241,tt0034167,Warner Brothers,
Sullivan's Travels,1941,Not Rated,6,Feb,90,"Adventure,Comedy,Drama,Romance",Preston Sturges,"Joel McCrea, Veronica Lake, Robert Warwick, William Demarest","A Hollywood director, John L Sullivan, sets out to experience life as a poor, homeless person in order to gain relevant life experience for his next movie.",English,USA,2 wins.,https://m.media-amazon.com/images/M/MV5BYWUyYTFlMzUtYzUxNi00YjFhLWEyNzItMzdkZTNkNDE5OTFlXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,1,N/A,7.9,23696,tt0034240,Paramount Pictures,
The Wolf Man,1941,Not Rated,12,Dec,70,Horror,George Waggner,"Lon Chaney Jr., Claude Rains, Warren William, Ralph Bellamy","Larry Talbot returns to his father's castle in Wales and meets a beautiful woman. One fateful night, Talbot escorts her to a local carnival where they meet a mysterious gypsy fortune teller.",English,USA,1 win & 3 nominations.,https://m.media-amazon.com/images/M/MV5BODRmMDBjMTYtZmJiZi00Mzk3LWFhZDAtMDExNDFhMWQzNzEyXkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_SX300.jpg,0.9,72,7.3,23720,tt0034398,Universal Pictures,
Casablanca,1942,PG,23,Jan,102,"Drama,Romance,War",Michael Curtiz,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains",A cynical American expatriate struggles to decide whether or not he should help his former lover and her fugitive husband escape French Morocco.,"English,French,German,Italian",USA,Won 3 Oscars. Another 5 wins & 9 nominations.,https://m.media-amazon.com/images/M/MV5BY2IzZGY2YmEtYzljNS00NTM5LTgwMzUtMzM1NjQ4NGI0OTk0XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg,0.99,100,8.5,515660,tt0034583,Warner Brothers,
Cat People,1942,Not Rated,25,Dec,73,"Fantasy,Horror,Thriller",Jacques Tourneur,"Simone Simon, Kent Smith, Tom Conway, Jane Randolph",An American man marries a Serbian immigrant who fears that she will turn into the cat person of her homeland's fables if they are intimate together.,"English,Czech,Serbian",USA,1 win & 3 nominations.,https://m.media-amazon.com/images/M/MV5BNzI4YWY0NWQtNWI5YS00MGE4LWE4YTgtMzBmOWIwMzdiYTRiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,0.95,N/A,7.3,19401,tt0034587,RKO Radio Pictures Inc.,
The Magnificent Ambersons,1942,Not Rated,10,Jul,88,"Drama,Romance","Orson Welles, Fred Fleck, Robert Wise","Joseph Cotten, Dolores Costello, Anne Baxter, Tim Holt",The spoiled young heir to the decaying Amberson fortune comes between his widowed mother and the man she has always loved.,English,USA,Nominated for 4 Oscars. Another 4 wins.,https://m.media-amazon.com/images/M/MV5BOTQ4Y2I5MzYtNDJkZS00YTFmLWJkODctMmU3YzQ3ZDhkMWE5XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,0.89,93,7.7,22318,tt0035015,"Mercury Productions, RKO Radio Pictures Inc.",
Mrs. Miniver,1942,Not Rated,1,Dec,134,"Drama,Romance,War",William Wyler,"Greer Garson, Walter Pidgeon, Teresa Wright, May Whitty",A British family struggles to survive the first months of World War II.,"English,German",USA,Won 6 Oscars. Another 4 wins & 7 nominations.,https://m.media-amazon.com/images/M/MV5BY2UxNjcwYmQtODc1NC00ZjQ1LTk4NDctZTE0NjhlMjNlOTEyXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,0.93,N/A,7.6,15698,tt0035093,Metro Goldwyn Mayer,
"Now, Voyager",1942,Passed,31,Oct,117,"Drama,Romance",Irving Rapper,"Bette Davis, Paul Henreid, Claude Rains, Gladys Cooper","A frumpy spinster blossoms under therapy and becomes an elegant, independent woman.","English,Portuguese",USA,Won 1 Oscar. Another 1 win & 2 nominations.,https://m.media-amazon.com/images/M/MV5BZDQ2YWUxOTctYWNjMi00NzE3LTg4MjUtMzUyNzA0OTJjZjNjXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,0.93,70,7.9,14898,tt0035140,Warner Brothers,
The Palm Beach Story,1942,Passed,1,Jan,88,"Comedy,Romance",Preston Sturges,"Claudette Colbert, Joel McCrea, Mary Astor, Rudy Vallee","An inventor needs cash to develop his big idea. His wife, who loves him, decides to raise it for him by divorcing him and marrying a millionaire.",English,USA,1 win.,https://m.media-amazon.com/images/M/MV5BMjU3MTlmNmUtZmMxZS00YTNmLTlkZWQtOTBhYjNkYjkyMWUxXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,0.97,N/A,7.5,10674,tt0035169,Paramount Pictures,
To Be or Not to Be,1942,Passed,6,Mar,99,"Comedy,War",Ernst Lubitsch,"Carole Lombard, Jack Benny, Robert Stack, Felix Bressart","During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.","English,German",USA,Nominated for 1 Oscar. Another 2 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BYTIwNDcyMjktMTczMy00NDM5LTlhNDEtMmE3NGVjOTM2YjQ3XkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_SX300.jpg,0.98,86,8.2,28639,tt0035446,Ernst Lubitsch-Film,
Yankee Doodle Dandy,1942,Passed,6,Jun,126,"Biography,Drama,Musical",Michael Curtiz,"James Cagney, Joan Leslie, Walter Huston, Richard Whorf","The life of the renowned musical composer, playwright, actor, dancer, and singer George M. Cohan.",English,USA,Won 3 Oscars. Another 3 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BNDQ2MWJjNjUtYmVlNS00YjUzLWFkMDEtYzE2MjkxOTljMmI1XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,0.9,89,7.7,13865,tt0035575,Warner Brothers,
Fires Were Started,1943,N/A,12,Apr,63,"Drama,War",Humphrey Jennings,"Philip Dickson, George Gravett, Fred Griffiths, Johnny Houghton",A tale of firefighters in London during the Blitz.,English,UK,N/A,https://m.media-amazon.com/images/M/MV5BMjA3NTY1ODk2MF5BMl5BanBnXkFtZTgwMjUzODgwMzE@._V1_SX300.jpg,0.44,N/A,6.5,896,tt0035881,N/A,
The Life and Death of Colonel Blimp,1943,Not Rated,4,May,163,"Drama,Romance,War","Michael Powell, Emeric Pressburger","James McKechnie, Neville Mapp, Vincent Holman, Roger Livesey","From the Boer War through World War II, a soldier rises through the ranks in the British military.","English,French,German",UK,1 win & 2 nominations.,https://m.media-amazon.com/images/M/MV5BMzg2MzE5YTktNzc3NC00NTI0LTk3OGMtNzQ5OWE4NmJiZGRhXkEyXkFqcGdeQXVyMTk4MDgwNA@@._V1_SX300.jpg,0.96,N/A,8.1,12977,tt0036112,"Independent Producers, The Archers",
The Man in Grey,1943,Approved,13,Mar,90,"Drama,History,Romance",Leslie Arliss,"Margaret Lockwood, Phyllis Calvert, James Mason, Stewart Granger","After a brutish, hedonistic Marquis marries a pretty young Clarissa to act as a 'brood sow,' he begins an affair with her friend who plots to take her place.",English,UK,N/A,https://m.media-amazon.com/images/M/MV5BZjBjZmJlNzYtMWVmYS00MzY5LWIzOGYtNWU0YTE1ODc1N2FlXkEyXkFqcGdeQXVyMzc5ODc1MDY@._V1_SX300.jpg,0.62,N/A,6.6,920,tt0036135,N/A,
Meshes of the Afternoon,1943,Not Rated,N/A,,14,"Short,Fantasy,Mystery","Maya Deren, Alexander Hammid","Maya Deren, Alexander Hammid","A woman returning home falls asleep and has vivid dreams that may or may not be happening in reality. Through repetitive images and complete mismatching of the objective view of time and space, her dark inner desires play out on-screen.",None,USA,1 win.,https://m.media-amazon.com/images/M/MV5BYzI0ODY4MTgtNjcxZC00Njk5LWI4MjQtZWRhMzU0ZjgwNDlmXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,N/A,N/A,7.9,10860,tt0036154,N/A,
Obsession,1943,TV-14,24,May,140,"Crime,Drama,Romance",Luchino Visconti,"Clara Calamai, Massimo Girotti, Dhia Cristiani, Elio Marcuzzo","Gino, a drifter, begins an affair with inn-owner Giovanna as they plan to get rid of her older husband.",Italian,Italy,1 win.,https://m.media-amazon.com/images/M/MV5BZmVhZTFmNTUtYTVmNS00MTAyLTkzZWItMjM3Y2IyMzdiMzA3XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,1,N/A,7.6,6768,tt0035160,Industrie Cinematografiche Italiane (ICI),
The Ox-Bow Incident,1942,Not Rated,21,May,75,"Drama,Western",William A. Wellman,"Henry Fonda, Dana Andrews, Mary Beth Hughes, Anthony Quinn","When a posse captures three men suspected of killing a local farmer, they become strongly divided over whether or not to lynch the men.","English,Spanish",USA,Nominated for 1 Oscar. Another 5 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BOTBjMDhlM2EtY2RmMC00YzUyLTk5MGEtNThhN2ZhNWIzMTI4XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,0.91,N/A,8,20627,tt0036244,Twentieth Century Fox,
The Seventh Victim,1943,Approved,21,Aug,71,"Drama,Horror,Mystery",Mark Robson,"Tom Conway, Jean Brooks, Isabel Jewell, Kim Hunter","A woman in search of her missing sister uncovers a Satanic cult in New York's Greenwich Village, and finds that they may have something to do with her sibling's random disappearance.","English,Italian,Latin,French",USA,3 nominations.,https://m.media-amazon.com/images/M/MV5BNzFjYTg1YTgtMTUwZi00ZTQxLWJjOWEtMzI5MTVkNjQ1ZDllXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,0.93,N/A,6.8,5797,tt0036341,RKO Radio Pictures Inc.,
Shadow of a Doubt,1943,PG,15,Jan,108,Thriller,Alfred Hitchcock,"Teresa Wright, Joseph Cotten, Macdonald Carey, Henry Travers","A young girl, overjoyed when her favorite uncle comes to visit the family, slowly begins to suspect that he is in fact the ""Merry Widow"" killer sought by the authorities.",English,USA,Nominated for 1 Oscar. Another 2 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BM2I1YWM4NTYtYjA0Ny00ZDEwLTg3NTgtNzBjMzZhZTk1YTA1XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,1,94,7.8,58428,tt0036342,Universal Pictures,
Double Indemnity,1944,Passed,6,Jul,107,"Crime,Drama,Film-Noir,Mystery,Thriller",Billy Wilder,"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Porter Hall",An insurance representative lets himself be talked by a seductive housewife into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.,English,USA,Nominated for 7 Oscars. Another 2 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BOTdlNjgyZGUtOTczYi00MDdhLTljZmMtYTEwZmRiOWFkYjRhXkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_SX300.jpg,0.97,95,8.3,141588,tt0036775,Paramount Pictures,
Gaslight,1944,Not Rated,30,Oct,114,"Crime,Drama,Mystery,Thriller",George Cukor,"Charles Boyer, Ingrid Bergman, Joseph Cotten, May Whitty","Years after her aunt was murdered in her home, a young woman moves back into the house with her new husband. However, he has a secret that he will do anything to protect, even if it means driving his wife insane.","English,Italian",USA,Won 2 Oscars. Another 4 wins & 7 nominations.,https://m.media-amazon.com/images/M/MV5BNTI0Y2Q1YjAtZTJhOS00NTZjLTk5ZWItNzJiMTM1NGVjZThlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,0.88,N/A,7.8,23765,tt0036855,Metro Goldwyn Mayer,
Henry V,1944,Not Rated,28,Oct,137,"Biography,Drama,History,War",Laurence Olivier,"Leslie Banks, Felix Aylmer, Robert Helpmann, Vernon Greeves","In the midst of the Hundred Years' War, the young King Henry V of England embarks on the conquest of France in 1415.","English,French",UK,Nominated for 4 Oscars. Another 8 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BNDU5MjdlMTgtNGVmNy00ODMwLTg1ZWEtMzkxMzVjZTA3NzY4XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,1,N/A,7.1,5670,tt0036910,Two Cities Films Ltd.,
"Ivan the Terrible, Part I",1944,Not Rated,8,Mar,95,"Biography,Drama,History",Sergei M. Eisenstein,"Nikolay Cherkasov, Lyudmila Tselikovskaya, Serafima Birman, Mikhail Nazvanov","During the early part of his reign, Ivan the Terrible faces betrayal from the aristocracy and even his closest friends as he seeks to unite the Russian people.",Russian,SovietUnion,2 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BZjI1MWFmMTktOTE3Mi00NjE0LWFlMDctZGNiZThkODI3YTJjXkEyXkFqcGdeQXVyMTE5MjM5Njk3._V1_SX300.jpg,1,N/A,7.8,8882,tt0037824,N/A,
Laura,1944,Passed,1,Nov,88,"Drama,Film-Noir,Mystery",Otto Preminger,"Gene Tierney, Dana Andrews, Clifton Webb, Vincent Price",A police detective falls in love with the woman whose murder he is investigating.,English,USA,Won 1 Oscar. Another 2 wins & 4 nominations.,https://m.media-amazon.com/images/M/MV5BYjkxOGM5OTktNTRmZi00MjhlLWE2MDktNzY3NjY3NmRjNDUyXkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_SX300.jpg,1,N/A,8,42038,tt0037008,Twentieth Century Fox,
Meet Me in St. Louis,1944,Passed,1,Jan,113,"Comedy,Drama,Family,Music,Romance",Vincente Minnelli,"Judy Garland, Margaret O'Brien, Mary Astor, Lucille Bremer","In the year leading up to the 1904 St. Louis World's Fair, the four Smith daughters learn lessons of life and love, even as they prepare for a reluctant move to New York.",English,USA,Nominated for 4 Oscars. Another 6 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BZWVmZmRlNWQtYzYyMy00ZDljLWE5MjgtNDE5MGVmYTQ5NDk0XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,1,N/A,7.6,19887,tt0037059,Metro Goldwyn Mayer,
"Murder, My Sweet",1944,Approved,22,Feb,95,"Crime,Drama,Film-Noir,Mystery,Thriller",Edward Dmytryk,"Dick Powell, Claire Trevor, Anne Shirley, Otto Kruger","After being hired to find an ex-con's former girlfriend, Philip Marlowe is drawn into a deeply complex web of mystery and deceit.",English,USA,1 win.,https://m.media-amazon.com/images/M/MV5BY2YyNWVhNzYtMjNkNS00YTNlLTlkYjYtMDVmMWExNTAxNGFlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,0.94,N/A,7.6,11886,tt0037101,RKO Radio Pictures Inc.,
To Have and Have Not,1944,Passed,20,Jan,100,"Adventure,Comedy,Film-Noir,Romance,Thriller,War",Howard Hawks,"Humphrey Bogart, Walter Brennan, Lauren Bacall, Dolores Moran","During World War II, American expatriate Harry Morgan helps transport a French Resistance leader and his beautiful wife to Martinique while romancing a sensuous lounge singer.","English,French",USA,1 win.,https://m.media-amazon.com/images/M/MV5BZGU2YmU0MWMtMzg5My00ZmY2LTljMDItMTg2YTI5Y2U2OTE3XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,0.97,N/A,7.8,30549,tt0037382,Warner Brothers,
San Pietro,1945,Unrated,3,May,32,"Documentary,Short,War",John Huston,"Mark W. Clark, John Huston",Director John Huston documents the Battle of San Pietro Infine in December 1943.,English,USA,1 win.,https://m.media-amazon.com/images/M/MV5BMTA1NjMxOTMxNjNeQTJeQWpwZ15BbWU3MDAxOTcwNTI@._V1_SX300.jpg,N/A,N/A,6.6,1918,tt0036630,N/A,
Brief Encounter,1945,Not Rated,24,Aug,86,"Drama,Romance",David Lean,"Celia Johnson, Trevor Howard, Stanley Holloway, Joyce Carey","Meeting a stranger in a railway station, a woman is tempted to cheat on her husband.","English,French",UK,Nominated for 3 Oscars. Another 3 wins.,https://m.media-amazon.com/images/M/MV5BYWQ0MGNjOTYtMWJlNi00YWMxLWFmMzktYjAyNTVkY2U1NWNhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,0.91,92,8,34884,tt0037558,"G.C.F., The Rank Organization [gb], Cineguild",
Children of Paradise,1945,Not Rated,15,Nov,189,"Drama,Romance",Marcel Carné,"Arletty, Jean-Louis Barrault, Pierre Brasseur, Pierre Renoir",The theatrical life of a beautiful courtesan and the four men who love her.,French,France,Nominated for 1 Oscar. Another 2 wins.,https://m.media-amazon.com/images/M/MV5BZjVjYTAzYjctZTZkNi00NmNhLWJkY2UtNjEyOWQ5NTI0MmEzXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,0.98,96,8.4,17914,tt0037674,Pathé Cinéma,
Detour,1945,Passed,25,Jan,68,"Crime,Drama,Film-Noir",Edgar G. Ulmer,"Tom Neal, Ann Savage, Claudia Drake, Edmund MacDonald",Chance events trap hitch-hiker Al Roberts in a tightening net of film noir trouble.,English,USA,1 win.,https://m.media-amazon.com/images/M/MV5BYTVhNTU2YzMtOTVjNy00YzhhLTk5OWItMjU4ZGMyNDQ4ZDIwXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,1,N/A,7.4,14644,tt0037638,Producers Releasing Corporation (PRC),
I Know Where I'm Going!,1945,Not Rated,9,Aug,91,"Drama,Romance","Michael Powell, Emeric Pressburger","George Carney, Wendy Hiller, Walter Hudd, Duncan MacKechnie","A young Englishwoman goes to the Hebrides to marry her older, wealthier fiancé. When the weather keeps them separated on different islands, she begins to have second thoughts.","English,ScottishGaelic",UK,N/A,https://m.media-amazon.com/images/M/MV5BYTM0OTRiYjktMTNjZi00NzVhLWIzYmQtZDQyYzk4NTE5NzRmXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,1,N/A,7.5,7784,tt0037800,The Archers,
The Lost Weekend,1945,Passed,1,Jan,101,"Drama,Film-Noir",Billy Wilder,"Ray Milland, Jane Wyman, Phillip Terry, Howard Da Silva",The desperate life of a chronic alcoholic is followed through a four-day drinking bout.,English,USA,Won 4 Oscars. Another 12 wins & 3 nominations.,https://m.media-amazon.com/images/M/MV5BMTk4NDQ0NjgyNF5BMl5BanBnXkFtZTgwMTE3NTkxMTE@._V1_SX300.jpg,0.97,N/A,7.9,33148,tt0037884,Paramount Pictures,
Mildred Pierce,1945,Approved,20,Oct,111,"Crime,Drama,Film-Noir,Mystery,Romance",Michael Curtiz,"Joan Crawford, Jack Carson, Zachary Scott, Eve Arden",A hard-working mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter.,English,USA,Won 1 Oscar. Another 2 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BNzljY2U2MDItYWE3Yi00OWE3LWEyMjQtMGNkZmJjNDE0NDJjXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,0.86,88,8,22424,tt0037913,Warner Bros.,
"Rome, Open City",1945,Not Rated,8,Oct,103,"Drama,Thriller,War",Roberto Rossellini,"Aldo Fabrizi, Anna Magnani, Marcello Pagliero, Vito Annichiarico","During the Nazi occupation of Rome in 1944, the Resistance leader, Giorgio Manfredi, is chased by the Nazis as he seeks refuge and a way to escape.","Italian,German,Latin",Italy,Nominated for 1 Oscar. Another 7 wins.,https://m.media-amazon.com/images/M/MV5BNGI0MmY1NTMtMTFmZS00Y2NkLTgyZDktMTFkNDZlOTc4YWU3XkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_SX300.jpg,1,N/A,8,22956,tt0038890,Excelsa Film,
Beauty and the Beast,1946,Not Rated,23,Dec,93,"Drama,Fantasy,Romance","Jean Cocteau, René Clément","Jean Marais, Josette Day, Mila Parély, Nane Germon","A beautiful young woman takes her father's place as the prisoner of a mysterious beast, who wishes to marry her.",French,France,1 win & 2 nominations.,https://m.media-amazon.com/images/M/MV5BODMwNmZjZmEtZGE5MS00NGIyLTlhNzQtMDNkNzk4ODkxZmI2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,N/A,92,7.9,23964,tt0038348,Light Quest Films,
The Best Years of Our Lives,1946,Approved,29,May,170,"Drama,Romance,War",William Wyler,"Myrna Loy, Fredric March, Dana Andrews, Teresa Wright",Three World War II veterans return home to small-town America to discover that they and their families have been irreparably changed.,English,USA,Won 7 Oscars. Another 14 wins & 3 nominations.,https://m.media-amazon.com/images/M/MV5BY2RmNTRjYzctODI4Ni00MzQyLWEyNTAtNjU0N2JkMTNhNjJkXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,0.97,93,8,56566,tt0036868,Samuel Goldwyn Company,
The Big Sleep,1946,Not Rated,31,Aug,114,"Crime,Film-Noir,Mystery,Thriller",Howard Hawks,"Humphrey Bogart, Lauren Bacall, John Ridgely, Martha Vickers","Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail, and what might be love.",English,USA,2 wins.,https://m.media-amazon.com/images/M/MV5BMjdiM2IyZmQtODJiYy00NDNkLTllYmItMmFjMDNiYTQyOGVkXkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_SX300.jpg,0.97,N/A,7.9,77933,tt0038355,Warner Brothers/Seven Arts,
Gilda,1946,Approved,25,Apr,110,"Drama,Film-Noir,Romance,Thriller",Charles Vidor,"Rita Hayworth, Glenn Ford, George Macready, Joseph Calleia",A small-time gambler hired to work in a Buenos Aires casino discovers his employer's new wife is his former lover.,"English,Spanish,French,German",USA,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BYWUxMzViZTUtNTYxNy00YjY4LWJmMjYtMzNlOThjNjhiZmZkXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,0.9,N/A,7.7,27619,tt0038559,Columbia Pictures Corporation,
Great Expectations,1946,Approved,22,May,118,"Adventure,Drama,Mystery,Romance",David Lean,"John Mills, Tony Wager, Valerie Hobson, Jean Simmons",A humble orphan suddenly becomes a gentleman with the help of an unknown benefactor.,English,UK,Won 2 Oscars. Another 1 win & 4 nominations.,https://m.media-amazon.com/images/M/MV5BZjA1YTQ1NGItZDI0OS00MTFiLTg1NTUtOWViMTg0ZDA4MWMyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,1,90,7.8,21733,tt0038574,Cineguild,
It's a Wonderful Life,1946,PG,7,Jan,130,"Drama,Family,Fantasy",Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell",An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,"English,French",USA,Nominated for 5 Oscars. Another 6 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BZjc4NDZhZWMtNGEzYS00ZWU2LThlM2ItNTA0YzQ0OTExMTE2XkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_SX300.jpg,0.94,89,8.6,391743,tt0038650,"RKO Radio Pictures Inc., Liberty Films",
The Killers,1946,Passed,30,Aug,103,"Crime,Drama,Film-Noir,Mystery",Robert Siodmak,"Burt Lancaster, Ava Gardner, Edmond O'Brien, Albert Dekker","Hit men kill an unresisting victim, and investigator Reardon uncovers his past involvement with beautiful, deadly Kitty Collins.",English,USA,Nominated for 4 Oscars. Another 3 wins.,https://m.media-amazon.com/images/M/MV5BNGZmNmJhY2YtMjhjNy00YThhLTk5MWItNDU2NTZhNzg1MTYwXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,1,N/A,7.8,18669,tt0038669,Mark Hellinger Productions,
A Matter of Life and Death,1946,PG,1,Mar,104,"Comedy,Drama,Fantasy,Romance,War","Michael Powell, Emeric Pressburger","David Niven, Kim Hunter, Robert Coote, Kathleen Byron",A British wartime aviator who cheats death must argue for his life before a celestial court.,"English,French,Russian",UK,1 win & 2 nominations.,https://m.media-amazon.com/images/M/MV5BZmQzZjIyN2EtOWI5Ni00ZDgyLTk4NGQtZmQ3ZWRhODIyZTVlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,0.97,N/A,8.1,18868,tt0038733,The Archers,
