Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Sunrise,1927,Passed,04 Nov 1927,94 min,"Drama, Romance",F.W. Murnau,"Carl Mayer (scenario), Hermann Sudermann (from an original theme by), Katherine Hilliker (titles), H.H. Caldwell (titles)","George O'Brien, Janet Gaynor, Margaret Livingston, Bodil Rosing",An allegorical tale about a man fighting the good and evil within him. Both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife.,English,USA,Won 3 Oscars. Another 3 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BNDVkYmYwM2ItNzRiMy00NWQ4LTlhMjMtNDI1ZDYyOGVmMzJjXkEyXkFqcGdeQXVyNTgzMzU5MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}]",N/A,8.1,"46,415",tt0018455,movie,N/A,N/A,Fox Film Corporation,N/A,True
The Unknown,1927,Unrated,04 Jun 1927,63 min,"Drama, Horror, Romance, Thriller",Tod Browning,"Tod Browning (story), Waldemar Young (scenario), Joseph Farnham (titles)","Lon Chaney, Norman Kerry, Joan Crawford, Nick De Ruiz",A criminal on the run hides in a circus and seeks to possess the daughter of the ringmaster at any cost.,English,USA,1 win & 2 nominations.,https://m.media-amazon.com/images/M/MV5BMTk3MjQ0MzYzMF5BMl5BanBnXkFtZTgwNDg1NDM4MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.8,"6,707",tt0018528,movie,N/A,N/A,Metro-Goldwyn-Mayer,N/A,True
The Crowd,1928,Not Rated,03 Mar 1928,98 min,"Drama, Romance",King Vidor,"King Vidor (screen play), John V.A. Weaver (screen play), Joseph Farnham (titles)","Eleanor Boardman, James Murray, Bert Roach, Estelle Clark","The life of a man and woman together in a large, impersonal metropolis through their hopes, struggles and downfalls.",None,USA,Nominated for 2 Oscars. Another 2 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BNjhhN2QzYzEtNmE3Ny00OWU3LWEwNmUtYTQ1ZmRjNWQ2YzMyXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}]",N/A,8.1,"7,403",tt0018806,movie,N/A,N/A,Metro Goldwyn Mayer,N/A,True
The Docks of New York,1928,Not Rated,29 Sep 1928,76 min,"Crime, Drama, Film-Noir, Romance",Josef von Sternberg,"Jules Furthman (story and screenplay), John Monk Saunders (suggested by ""The Dock Walloper"" by), Julian Johnson (titles)","George Bancroft, Betty Compson, Olga Baclanova, Clyde Cook",A blue-collar worker on New York's depressed waterfront finds his life changed after he saves a woman attempting suicide.,"None, English",USA,3 wins.,https://m.media-amazon.com/images/M/MV5BN2FmNTM2NTItYmY4Yi00MjRiLThkMGUtNzRhODIzNjVjNDgwXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.5,"3,879",tt0018839,movie,N/A,N/A,N/A,N/A,True
October (Ten Days that Shook the World),1927,N/A,24 Sep 1928,95 min,"Drama, History","Grigoriy Aleksandrov, Sergei M. Eisenstein","Sergei M. Eisenstein, Grigoriy Aleksandrov, Boris Agapow (intertitles), John Reed (book)","Nikolay Popov, Vasili Nikandrov, Layaschenko, Chibisov","A large-scale view on the events of 1917 in Russia, when the monarchy was overthrown.",N/A,Soviet Union,2 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BMjAyMjI2MTgxOF5BMl5BanBnXkFtZTgwMDA2MzUxMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}]",N/A,7.4,"6,527",tt0018217,movie,N/A,N/A,Sovkino,N/A,True
The Passion of Joan of Arc,1928,Passed,25 Oct 1928,114 min,"Biography, Drama, History",Carl Theodor Dreyer,"Joseph Delteil, Carl Theodor Dreyer","Maria Falconetti, Eugene Silvain, André Berley, Maurice Schutz","In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.","None, French",France,3 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BNjBjNDJiYTUtOWY0OS00OGVmLTg2YzctMTE0NzVhODM1ZWJmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}]",N/A,8.1,"46,289",tt0019254,movie,N/A,N/A,Société générale des films,N/A,True
"Steamboat Bill, Jr.",1928,Not Rated,20 May 1928,70 min,"Action, Comedy, Drama, Family, Romance","Charles Reisner, Buster Keaton",Carl Harbaugh (story),"Buster Keaton, Tom McGuire, Ernest Torrence, Tom Lewis",The effete son of a cantankerous riverboat captain comes to join his father's crew.,"None, English",USA,3 wins & 3 nominations.,https://m.media-amazon.com/images/M/MV5BOTg2MjUyMjYyOV5BMl5BanBnXkFtZTgwNjM0NDAwMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.9,"13,052",tt0019421,movie,N/A,N/A,Buster Keaton Productions Inc. [us],N/A,True
Storm Over Asia,1928,N/A,06 Sep 1930,74 min,"Drama, War",Vsevolod Pudovkin,"Osip Brik, I. Novokshenov (story)","Valéry Inkijinoff, I. Dedintsev, Aleksandr Chistyakov, Viktor Tsoppi","After a run-in with the law, a Mongolian man becomes a fugitive and joins the Russian Civil War.","None, Russian",Soviet Union,1 win.,https://m.media-amazon.com/images/M/MV5BMTg0Mjg5ODAwNV5BMl5BanBnXkFtZTgwMzE3ODgwMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,"1,831",tt0019286,movie,N/A,N/A,N/A,N/A,True
Blackmail,1929,Not Rated,06 Oct 1929,85 min,"Crime, Thriller",Alfred Hitchcock,"Charles Bennett (from the play by), Alfred Hitchcock (adapted by), Benn W. Levy (dialogue)","Anny Ondra, Sara Allgood, Charles Paton, John Longden","After killing a man in self-defense, a young woman is blackmailed by a witness to the killing.",English,UK,N/A,https://m.media-amazon.com/images/M/MV5BOGNhMzc3ZWMtMjc5ZS00YWM4LTgzYTctYjgxOGY5YTdjZjYzXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}]",N/A,7.0,"9,502",tt0019702,movie,N/A,N/A,British International Pictures,N/A,True
Man with a Movie Camera,1929,Not Rated,12 May 1929,68 min,"Documentary, Music",Dziga Vertov,Dziga Vertov (scenario),Mikhail Kaufman,"A man travels around a city with a camera slung over his shoulder, documenting urban life with dazzling invention.",None,Soviet Union,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BYTc3NGVlN2QtYWJlZi00YjhjLThiZjctZDA1MmE1NGI4ZmE4XkEyXkFqcGdeQXVyODQyNDU4OTk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}]",N/A,8.4,"22,024",tt0019760,movie,N/A,N/A,N/A,N/A,True
Pandora's Box,1929,Not Rated,22 Feb 1930,109 min,"Crime, Drama, Romance",Georg Wilhelm Pabst,"Frank Wedekind (plays), Ladislaus Vajda (scenario)","Louise Brooks, Fritz Kortner, Francis Lederer, Carl Goetz",The rise and inevitable fall of an amoral but naive young woman whose insouciant eroticism inspires lust and violence in those around her.,"None, German",Germany,1 nomination.,https://m.media-amazon.com/images/M/MV5BNzdlNmJlNmItNWUyMC00YTJlLTlmNDAtYmRiYzdiZTM2MjAzXkEyXkFqcGdeQXVyNTcwNjUwNzk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}]",N/A,7.9,"9,683",tt0018737,movie,N/A,N/A,Nero-Film AG,N/A,True
A Throw of Dice,1929,NOT RATED,04 Jan 1930,74 min,"Adventure, Drama, Romance",Franz Osten,"Niranjan Pal (story), W.A. Burton (scenario), Max Jungk (scenario: German version)","Seeta Devi, Himansu Rai, Charu Roy, Modhu Bose","With King Ranjit visiting him, King Sohat sees an opportunity to kill his young cousin and take over his kingdom. One of Sohat's henchmen fells Ranjit with a poisoned arrow, making it look ...",English,"UK, India, Germany",N/A,https://ia.media-imdb.com/images/M/MV5BMTIyMjMxNDA1M15BMl5BanBnXkFtZTcwMDQ5MzM2MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,6.7,534,tt0020286,movie,N/A,N/A,N/A,N/A,True
L'Age d'Or,1930,Not Rated,01 Nov 1979,63 min,"Comedy, Drama",Luis Buñuel,"Luis Buñuel (scenario), Salvador Dalí (scenario)","Gaston Modot, Lya Lys, Caridad de Laberdesque, Max Ernst","A surrealist tale of a man and a woman who are passionately in love with each other, but their attempts to consummate that passion are constantly thwarted by their families, the Church, and bourgeois society.",French,France,N/A,https://m.media-amazon.com/images/M/MV5BMmY2NWYyN2MtNTkyNi00MmJkLTkwODAtNWU1ZDQ5OWFkNmY5XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}]",N/A,7.3,"12,612",tt0021577,movie,N/A,N/A,Kino International Corp.,N/A,True
All Quiet on the Western Front,1930,Passed,24 Aug 1930,152 min,"Drama, War",Lewis Milestone,"Erich Maria Remarque (by), Maxwell Anderson (adaptation), George Abbott (screen play), Del Andrews (adaptation), C. Gardner Sullivan (supervising story chief)","Louis Wolheim, Lew Ayres, John Wray, Arnold Lucy","A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.","English, French, German, LatTitle,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
riminal moves to a big city to seek bigger fortune.,English,USA,Nominated for 1 Oscar. Another 1 win.,https://m.media-amazon.com/images/M/MV5BYzE4ZTI3MDQtMTE5MS00MzQxLTkwZGMtYWM5MjU2MzE3OTk5XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}]",N/A,7.3,"11,839",tt0021079,movie,N/A,N/A,First National Pictures,N/A,True
À Nous la Liberté,1931,Not Rated,31 Dec 1931,97 min,"Comedy, Musical",René Clair,René Clair (story and screenplay),"Henri Marchand, Raymond Cordy, Rolla France, Paul Ollivier","Seeking better life, two convicts escape from prison.",French,France,Nominated for 1 Oscar. Another 3 wins.,https://m.media-amazon.com/images/M/MV5BODg0ODAzNTItM2M4ZC00NGYxLWIzMmMtNzFiMWIzYWU2YWJiXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.5,"3,857",tt0022599,movie,N/A,N/A,N/A,N/A,True
Limite,1931,Not Rated,01 Oct 1931,114 min,"Drama, Romance",Mario Peixoto,Mario Peixoto,"Olga Breno, Tatiana Rey, Raul Schnoor, Brutus Pedreira",Three people sail aimlessly while remembering their past.,"None, Portuguese",Brazil,N/A,https://m.media-amazon.com/images/M/MV5BMjJjY2UwMTctNDNjOS00Mzk5LWFjZjAtMzg2ZWM5ODM5YmQ3XkEyXkFqcGdeQXVyNzM0MTUwNTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,"1,818",tt0022080,movie,N/A,N/A,N/A,N/A,True
M,1931,Passed,31 Aug 1931,99 min,"Crime, Mystery, Thriller",Fritz Lang,"Thea von Harbou (script), Fritz Lang (script)","Peter Lorre, Ellen Widmann, Inge Landgut, Otto Wernicke","When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",German,Germany,2 wins.,https://m.media-amazon.com/images/M/MV5BODA4ODk3OTEzMF5BMl5BanBnXkFtZTgwMTQ2ODMwMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,8.3,"140,793",tt0022100,movie,N/A,N/A,Nero-Film AG,N/A,True
Tabu: A Story of the South Seas,1931,Not Rated,01 Aug 1931,86 min,"Drama, Romance, Adventure",F.W. Murnau,"F.W. Murnau (told by), Robert J. Flaherty (told by)","Matahi, Anne Chevalier, Bill Bambridge, Hitu","On the South Pacific island of Bora Bora, a young couple's love is threatened when the tribal chief declares the girl a sacred virgin.",English,USA,Won 1 Oscar. Another 2 wins.,https://m.media-amazon.com/images/M/MV5BNDhmNzg0M2UtZGNkNC00YTQ3LWE0ZjAtMmFjNTI2MmFkZmNiXkEyXkFqcGdeQXVyMTczMjA2Nzk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}]",N/A,7.5,"4,919",tt0022458,movie,N/A,N/A,"Paramount Pictures, Murnau-Flaherty Productions",N/A,True
The Public Enemy,1931,Not Rated,15 May 1931,83 min,"Crime, Drama",William A. Wellman,"Kubec Glasmon (by), John Bright (by), Harvey F. Thew (screen adaptation)","James Cagney, Jean Harlow, Edward Woods, Joan Blondell","A young hoodlum rises up through the ranks of the Chicago underworld, even as a gangster's accidental death threatens to spark a bloody mob war.",English,USA,Nominated for 1 Oscar. Another 1 win.,https://m.media-amazon.com/images/M/MV5BZmJhZTU2NjEtZWM4MC00ZWU3LWEyOWUtMDgxNzI4ZTllYjcwXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.7,"17,445",tt0022286,movie,N/A,N/A,Warner Brothers,N/A,True
Boudu Saved from Drowning,1932,Not Rated,23 Feb 1967,85 min,Comedy,Jean Renoir,René Fauchois (play),"Michel Simon, Marcelle Hainia, Sévérine Lerczinska, Jean Gehret","A bookseller saves a tramp from drowning and shelters him, but the tramp's odd behavior starts to wear everyone down.",French,France,N/A,https://m.media-amazon.com/images/M/MV5BNzlhYTI1MzgtZTU4MS00MDhmLWE5NjUtNTJjYTY4NmJhNjIxXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.4,"4,847",tt0022718,movie,N/A,N/A,Crédit Cinématographique Français,N/A,True
Freaks,1932,Not Rated,20 Feb 1932,64 min,"Drama, Horror",Tod Browning,"Clarence Aaron 'Tod' Robbins (suggested by story: ""Spurs""), Willis Goldbeck (screenplay), Leon Gordon (screenplay)","Wallace Ford, Leila Hyams, Olga Baclanova, Roscoe Ates","A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.","English, German, French",USA,2 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMjMyYjgyOTQtZDVlZS00NTQ0LWJiNDItNGRlZmM3Yzc0N2Y0XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",80,7.9,"41,740",tt0022913,movie,N/A,N/A,Metro Goldwyn Mayer,N/A,True
I Am a Fugitive from a Chain Gang,1932,Passed,19 Nov 1932,92 min,"Crime, Drama, Film-Noir",Mervyn LeRoy,"Robert E. Burns (by), Howard J. Green (screen play), Brown Holmes (screen play)","Paul Muni, Glenda Farrell, Helen Vinson, Noel Francis","Wrongly convicted James Allen serves in the intolerable conditions of a southern chain gang, which later comes back to haunt him.",English,USA,Nominated for 3 Oscars. Another 3 wins.,https://m.media-amazon.com/images/M/MV5BMDllMDA4YWQtYzdmNC00OGYxLWE0N2QtZmNjM2QxMTgxYzFkXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}]",N/A,8.2,"11,490",tt0023042,movie,N/A,N/A,"Warner Brothers, The Vitaphone Corporation",N/A,True
Love Me Tonight,1932,Passed,14 Oct 1932,104 min,"Comedy, Musical, Romance",Rouben Mamoulian,"Samuel Hoffenstein (screen play), George Marion Jr. (screen play), Waldemar Young (screen play), Léopold Marchand (based on a play by), Paul Armont (based on a play by)","Maurice Chevalier, Jeanette MacDonald, Charles Ruggles, Charles Butterworth","A Parisian tailor finds himself posing as a baron in order to collect a sizeable bill from an aristocrat, only to fall in love with an aloof young princess.",English,USA,1 win.,https://m.media-amazon.com/images/M/MV5BMGFhZTQ3NGItMWFlNy00OTU4LWJiYzItYWM2NGU1YTY1NjE4XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.6,"3,483",tt0023158,movie,N/A,N/A,Paramount Pictures,N/A,True
Scarface,1932,PG,09 Apr 1932,93 min,"Action, Crime, Drama, Film-Noir, Thriller","Howard Hawks, Richard Rosson(co-director)","Armitage Trail (from the book by), Ben Hecht (screen story by), Seton I. Miller (dialogue), John Lee Mahin (dialogue), W.R. Burnett (dialogue)","Paul Muni, Ann Dvorak, Karen Morley, Osgood Perkins","An ambitious and nearly insane violent gangster climbs the ladder of success in the mob, but his weaknesses prove to be his downfall.",English,USA,2 wins.,https://m.media-amazon.com/images/M/MV5BYmMxZTU2ZDUtM2Y1MS00ZWFmLWJlN2UtNzI0OTJiOTYzMTk3XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",87,7.8,"24,919",tt0023427,movie,N/A,N/A,The Caddo Company,N/A,True
Shanghai Express,1932,Approved,12 Feb 1932,82 min,"Adventure, Drama, Romance, Thriller",Josef von Sternberg,"Jules Furthman (screen play), Harry Hervey (based on the story by)","Marlene Dietrich, Clive Brook, Anna May Wong, Warner Oland",A notorious woman rides a train through a dangerous situation with a British captain she loved.,"English, French, Cantonese, German",USA,Won 1 Oscar. Another 2 nominations.,https://m.media-amazon.com/images/M/MV5BMDc3ODRlZDktY2M2MC00Y2UxLWI1MWMtODkyYjI1NzQyNjIwXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83,7.3,"7,366",tt0023458,movie,N/A,N/A,Paramount Pictures,N/A,True
Vampyr,1932,Not Rated,14 Aug 1934,75 min,"Fantasy, Horror",Carl Theodor Dreyer,"Sheridan Le Fanu (based on a book by), Christen Jul (screenplay), Carl Theodor Dreyer (screenplay)","Julian West, Maurice Schutz, Rena Mandel, Sybille Schmitz",A drifter obsessed with the supernatural stumbles upon an inn where a severely ill adolescent girl is slowly becoming a vampire.,German,"Germany, France",N/A,https://m.media-amazon.com/images/M/MV5BMmNmOTg4MDYtZDZjYy00NjNkLTkxMjQtNWM5YjVmODYyZGE4XkEyXkFqcGdeQXVyMTE2NzA0Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}]",N/A,7.5,"15,591",tt0023649,movie,N/A,N/A,Tobis Filmkunst,N/A,True
Trouble in Paradise,1932,Not Rated,30 Oct 1932,83 min,"Comedy, Crime, Romance",Ernst Lubitsch,"Samson Raphaelson (screenplay), Grover Jones (adaptation), Aladar Laszlo (play)","Miriam Hopkins, Kay Francis, Herbert Marshall, Charles Ruggles",A gentleman thief and a lady pickpocket join forces to con a beautiful perfume company owner. Romantic entanglements and jealousies confuse the scheme.,"English, Italian, Russian, Spanish, German",USA,2 wins.,https://m.media-amazon.com/images/M/MV5BY2E5ODgyYmQtY2Q0ZS00N2MyLWJhYzktYTliMWEyOWM2OGNiXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}]",N/A,8.0,"12,702",tt0023622,movie,N/A,N/A,Paramount Publix Corporation,N/A,True
42nd Street,1933,Passed,11 Mar 1933,89 min,"Comedy, Musical, Romance",Lloyd Bacon,"Rian James (screen play), James Seymour (screen play), Bradford Ropes (based on the novel by)","Warner Baxter, Bebe Daniels, George Brent, Ruby Keeler","A director puts on what may be his last Broadway show and, at the last moment, a naive newcomer has to replace the star.",English,USA,Nominated for 2 Oscars. Another 1 win.,https://m.media-amazon.com/images/M/MV5BMTUzNDExNjQ3Ml5BMl5BanBnXkFtZTgwMjM2NDgzMTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83,7.4,"10,489",tt0024034,movie,N/A,N/A,Warner Brothers,N/A,True
The Bitter Tea of General Yen,1932,Approved,06 Jan 1933,88 min,"Drama, Romance, War",Frank Capra,"Grace Zaring Stone (from the story by), Edward E. Paramore Jr. (screen play)","Barbara Stanwyck, Nils Asther, Toshia Mori, Walter Connolly",A Chinese warlord and an engaged Christian missionary fall in love.,"English, Mandarin, French",USA,N/A,https://m.media-amazon.com/images/M/MV5BMTg2MzcyNzIxMF5BMl5BanBnXkFtZTgwODQzODgwMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.0,"3,413",tt0023814,movie,N/A,N/A,Columbia Pictures Corporation,N/A,True
